en,ru
"The Coca-Cola story begins in Atlanta, Georgia, in 1886.","История Coca-Cola начинается в Атланте, штат Джорджия, в 1886 году."
John S. Pemberton invents a new drink.,Джон С. Пембертон открыл новый напиток.
Two of the ingredients are the South American coca leaf and the African cola nut.,Два ингредиента которого — южноамериканские листья коки и африканские орехи кола.
Pemberton can’t think of a good name for the drink.,Пембертон не мог придумать хорошее название для напитка.
"Finally, Dr. Pemberton partner Frank M. Robinson suggests the name Coca-Cola and writes the new name in a special way — and that becomes the famous trademark.","Наконец, партнер доктора Пембертона, Фрэнк М. Робинсон предлагает название Coca-Cola и пишет новое имя особым образом — и это становится известной торговой маркой."
Thirty years later the famous Coca-Cola bottle design first appears.,Тридцать лет спустя появляется современный дизайн бутылки Coca-Cola.
The style of the bottle and trademark are very important for the success of the drink.,Стиль бутылки и товарный знак являются очень важными для успеха этого напитка.
"For many years, they make only Coca-Cola.",На протяжении многих лет они делают только Coca-Cola.
They also introduce new drinks — Fanta.,"Они также представили новые напитки – Fanta, Sprite и TAB — в 1960 году и диетическую колу в 1982 году."
The recipe of Coca-Cola is a secret.,Рецепт Coca-Cola является секретом.
In 1985the company does something almost incredible.,В 1985 компания делает нечто почти невероятное.
They change the recipe!,Они изменяют рецепт!
But the public is very unhappy.,Но общественности это очень не понравилось.
"And, soon after, they bring back the original recipe: “Coca-Cola Classic”.","И вскоре после этого, они вернули оригинальный рецепт: «Coca-Cola Classic»."
Today they sell Coca-Cola in 195 countries.,Сегодня они продают Coca-Cola в 195 странах.
"Hundreds of millions of people, from Boston to Beijing, drink in every day.","Сотни миллионов людей, от Бостона до Пекина, пьют ее каждый день."
It has the most famous trademark in the world.,Она известна как самая известная торговая марка в мире.
